Rk,Team,Date,Att,Att,Tot,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD,,"Rk,Team,Date,Att,Att,TO,Pen,1stD,TD,KRTD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,KRTD,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD"
27,ATL,2023-10-29,34,26,342,3,17,2,0,Sun,8,8,@,TEN,L 23-28,20,34,14,58.8,202,1,0,2.9,0,91.1,6,44,15,5.9,5.05,6.53,5.55,10.1,26,140,5.4,1,342,66,5.18,67,5.6,1,27:01:00,3:12,3,15,6,53,9,68,17,4,12,1,15,4,26.7,2,1,50,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,ATL,2023-10-22,25,38,401,9,20,1,0,Sun,7,7,@,TAM,W 16-13,19,25,6,76,245,0,0,0,0,107.1,1,5,3.85,9.8,9.42,9.8,9.42,12.9,38,156,4.1,1,401,64,6.27,65,5.06,3,29:59:00,3:03,9,60,9,66,18,126,20,10,9,1,13,7,53.8,0,0,,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
29,ATL,2023-10-15,47,29,402,4,25,2,0,Sun,6,6,,WAS,L 16-24,28,47,19,59.6,296,2,3,4.3,6.4,66.5,3,11,6,6.3,5.92,4.28,4.02,10.6,29,106,3.7,0,402,79,5.09,50,3.86,3,36:23:00,2:52,4,31,6,40,10,71,25,5,18,2,15,5,33.3,3,1,33.3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
30,ATL,2023-10-08,38,36,447,7,26,2,0,Sun,5,5,,HOU,W 21-19,29,38,9,76.3,351,1,0,2.6,0,112.9,0,0,0,9.2,9.24,9.76,9.76,12.1,36,96,2.7,1,447,74,6.04,58,5.4,2,35:32:00,3:00,7,55,5,25,12,80,26,8,18,0,14,7,50,0,0,,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,
31,ATL,2023-10-01,31,22,287,3,17,1,0,Sun,4,4,@,JAX,L 7-23,19,31,12,61.3,160,1,2,3.2,6.5,62.7,4,31,11.43,5.2,4.57,2.9,2.57,8.4,22,127,5.8,0,287,57,5.04,64,4.69,3,27:09:00,2:43,3,50,3,25,6,75,17,6,11,0,12,6,50,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
32,ATL,2023-09-24,38,20,183,4,16,0,0,Sun,3,3,@,DET,L 6-20,21,38,17,55.3,139,0,0,0,0,70.2,7,62,15.56,3.7,3.09,3.66,3.09,6.6,20,44,2.2,0,183,65,2.82,64,5.59,1,27:03:00,2:54,4,24,10,119,14,143,16,3,9,4,14,4,28.6,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
33,ATL,2023-09-17,32,45,446,6,27,2,0,Sun,2,2,,GNB,W 25-24,19,32,13,59.4,235,1,1,3.1,3.1,79.8,1,2,3.03,7.3,7.12,6.56,6.36,12.4,45,211,4.7,1,446,78,5.72,47,4.77,1,36:15:00,3:13,6,110,7,40,13,150,27,15,10,2,15,6,40,4,3,75,2,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
34,ATL,2023-09-10,18,26,221,6,13,3,0,Sun,1,1,,CAR,W 24-10,15,18,3,83.3,91,1,0,5.6,0,111.8,4,24,18.18,5.1,4.14,6.17,5.05,6.1,26,130,5,2,221,48,4.6,72,3.9,0,25:19:00,3:06,6,43,9,66,15,109,13,7,6,0,10,2,20,0,0,,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
35,BAL,2024-01-06,28,25,224,3,13,1,0,Sat,17,18,,PIT,L 10-17,15,28,13,53.6,118,1,0,3.6,0,80.4,4,28,12.5,4.2,3.69,4.93,4.31,7.9,25,106,4.2,0,224,57,3.93,62,4.66,2,25:06:00,2:56,3,26,4,25,7,51,13,4,9,0,13,4,30.8,1,1,100,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
36,BAL,2023-12-31,22,32,491,7,24,8,0,Sun,16,17,,MIA,W 56-19,19,22,3,86.4,331,6,0,27.3,0,158.3,1,9,4.35,15,14.39,20.5,19.61,17.4,32,160,5,2,491,55,8.93,66,5.68,1,30:23:00,3:10,7,45,5,37,12,82,24,8,15,1,7,4,57.1,1,1,100,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
